Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,m1,m2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,14:08:52,1,0,0.2221,0.2015,0.4279,0.425,0.2221,0.2015,0.480953494,0.525882353,0,0,0.481,0.526,0,0,0.519,0.474,0,0,0,0,1,1,1,1,0,0,0,0,0,-0.093
18.01.19,14:09:03,2,1,0.2157,0.2044,0.3456,0.3382,0.1976,0.1796,0.375868056,0.395623891,0.375868056,0.395623891,0.376,0.396,0.119,0.122,0.505,0.482,0.059,0.063,0.357,0.353,0.878,0.843,0.805,0.741,0.2,0.2,0,0,0,-0.053
18.01.19,14:09:13,3,11,0.2186,0.2025,0.3446,0.3314,0.1973,0.1777,0.365641323,0.388955944,4.022054556,4.278515389,0.366,0.389,0.122,0.135,0.513,0.476,0.059,0.071,0.361,0.38,0.855,0.839,0.772,0.737,1.7,1.8,0,0,0,-0.064
18.01.19,14:09:23,4,21,0.2201,0.2039,0.3358,0.3221,0.1944,0.175,0.344550328,0.366966781,7.235556879,7.706302391,0.345,0.367,0.139,0.152,0.516,0.481,0.067,0.078,0.396,0.412,0.82,0.804,0.724,0.69,3,3.2,0,0,0,-0.065
18.01.19,14:09:33,5,36,0.2221,0.2064,0.327,0.3172,0.1914,0.1735,0.320795107,0.349306431,11.54862385,12.57503153,0.321,0.349,0.161,0.167,0.518,0.484,0.078,0.086,0.427,0.427,0.773,0.773,0.666,0.65,4.9,5.3,0,0,0,-0.089
18.01.19,14:09:43,6,81,0.2377,0.2034,0.3162,0.2824,0.1876,0.1625,0.248260595,0.279745042,20.10910816,22.65934844,0.248,0.28,0.199,0.241,0.553,0.479,0.09,0.125,0.467,0.545,0.612,0.659,0.483,0.526,8.4,9.5,0,0,0,-0.127
18.01.19,14:09:53,7,146,0.248,0.1941,0.2995,0.2363,0.1816,0.1461,0.171953255,0.178586543,25.10517529,26.07363521,0.172,0.178,0.246,0.365,0.582,0.457,0.106,0.2,0.522,0.678,0.435,0.467,0.319,0.351,10.5,10.9,0,0,0,-0.038
18.01.19,14:10:03,8,281,0.2603,0.1912,0.2887,0.2083,0.1776,0.1349,0.098372012,0.082093135,27.6425355,23.06817091,0.098,0.082,0.295,0.467,0.607,0.451,0.122,0.259,0.557,0.745,0.255,0.235,0.174,0.166,11.6,9.7,0,0,0,0.164
18.01.19,14:10:13,9,611,0.2569,0.1824,0.2696,0.1868,0.1702,0.1256,0.047106825,0.023554604,28.78227003,14.39186296,0.047,0.024,0.35,0.536,0.602,0.44,0.145,0.318,0.616,0.796,0.129,0,0.086,0,12.1,6.1,0,0,0,0.5
18.01.19,14:10:23,10,926,0.2466,0.1716,0.2515,0.1735,0.1628,0.1194,0.019483101,0.010951009,18.04135189,10.14063401,0.019,0,0.394,0.591,0.586,0.409,0.176,0.361,0.667,0.824,0,0,0,0,7.6,0,0,0,0,1
18.01.19,14:10:33,11,1251,0.2289,0.1608,0.2314,0.1608,0.1541,0.1132,0.010803803,0,13.51555748,0,0,0,0.459,0.622,0.541,0.378,0.212,0.412,0.718,0.847,0,0,0,0,0,0,0,0,0,0
