Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,14:12:51,1,0,0.2426,0.2314,0.2289,0.3505,0.3902,0.3912,0.2426,0.2314,0.2289,0.307845934,0.406970784,0.414877301,0,0,0,0.308,0.407,0.415,0,0,0,0.692,0.593,0.585,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.323,-0.348
18.01.19,14:13:02,2,1,0.2363,0.2324,0.2294,0.3475,0.3853,0.3819,0.2412,0.2296,0.2257,0.32,0.396833636,0.399319194,0.32,0.396833636,0.399319194,0.32,0.397,0.399,0,0.003,0.017,0.692,0.6,0.584,0,0,0.008,0,0,0.055,1,0.984,0.976,1,0.973,0.961,0.1,0.2,0.2,0,0,0,0,-0.24,-0.247
18.01.19,14:13:12,3,11,0.2319,0.2279,0.2324,0.3328,0.3623,0.3642,0.2341,0.2213,0.2194,0.303185096,0.37096329,0.361889072,3.335036058,4.080596191,3.980779791,0.303,0.371,0.362,0.026,0.046,0.045,0.67,0.584,0.593,0.012,0.02,0.02,0.153,0.165,0.157,1,0.953,0.91,1,0.925,0.859,1.4,1.7,1.7,0,0,0,0,-0.222,-0.193
18.01.19,14:13:22,4,21,0.2363,0.2206,0.2387,0.3142,0.3245,0.3426,0.2247,0.2066,0.2114,0.247931254,0.3201849,0.303269119,5.206556334,6.723882897,6.368651489,0.248,0.32,0.303,0.075,0.115,0.086,0.677,0.565,0.61,0.027,0.051,0.035,0.29,0.357,0.271,0.871,0.882,0.792,0.828,0.826,0.701,2.2,2.8,2.7,0,0,0,0,-0.291,-0.223
18.01.19,14:13:32,5,36,0.2343,0.2172,0.2431,0.3059,0.3005,0.3299,0.2204,0.1966,0.2065,0.234063419,0.277204659,0.263110033,8.426283099,9.97936772,9.4719612,0.234,0.277,0.263,0.095,0.166,0.116,0.671,0.557,0.621,0.035,0.075,0.047,0.341,0.463,0.333,0.835,0.8,0.702,0.786,0.724,0.596,3.5,4.2,4,0,0,0,0,-0.185,-0.124
18.01.19,14:13:42,6,81,0.2422,0.2201,0.252,0.2882,0.2637,0.3074,0.2111,0.1801,0.1974,0.159611381,0.165339401,0.18022121,12.92852186,13.39249147,14.59791802,0.16,0.165,0.18,0.151,0.273,0.173,0.689,0.562,0.647,0.055,0.122,0.067,0.447,0.604,0.431,0.596,0.522,0.502,0.52,0.427,0.393,5.4,5.6,6.1,0,0,0,0,-0.035,-0.127
18.01.19,14:13:52,7,146,0.2471,0.2216,0.2613,0.2799,0.2485,0.2966,0.2066,0.1729,0.1929,0.117184709,0.108249497,0.119015509,17.10896749,15.80442656,17.37626433,0.117,0.108,0.119,0.177,0.322,0.211,0.706,0.57,0.67,0.063,0.141,0.078,0.49,0.651,0.478,0.447,0.357,0.341,0.374,0.279,0.252,7.2,6.7,7.3,0,0,0,0,0.075,-0.014
18.01.19,14:14:02,8,281,0.2505,0.2235,0.2667,0.2667,0.2363,0.2858,0.1993,0.1669,0.1883,0.060742407,0.05416843,0.066829951,17.06861642,15.22132882,18.77921624,0.061,0.054,0.067,0.224,0.376,0.255,0.715,0.57,0.678,0.078,0.165,0.094,0.553,0.69,0.518,0.239,0.184,0.196,0.19,0.138,0.138,7.2,6.4,7.9,0,0,0,0,0.111,-0.103
18.01.19,14:14:12,9,611,0.2422,0.2186,0.2603,0.251,0.2245,0.2686,0.1904,0.1609,0.1807,0.035059761,0.026280624,0.030900968,21.42151394,16.05746102,18.88049144,0.035,0.026,0.031,0.272,0.398,0.303,0.693,0.576,0.666,0.098,0.184,0.114,0.62,0.722,0.58,0.145,0,0.094,0.114,0,0.065,9,6.7,8,0,0,0,0,0.255,0.118
18.01.19,14:14:22,10,926,0.2319,0.2088,0.2471,0.2392,0.2127,0.2544,0.1835,0.1548,0.1741,0.030518395,0.018335684,0.028694969,28.26003344,16.97884344,26.57154088,0.031,0,0.029,0.289,0.454,0.319,0.68,0.546,0.652,0.118,0.208,0.133,0.667,0.753,0.631,0,0,0,0,0,0,12,0,11.2,0,0,0,0,1,0.06
18.01.19,14:14:32,11,1251,0.2191,0.2025,0.2368,0.223,0.2015,0.2363,0.1739,0.1487,0.1654,0.017488789,-0.004962779,-0.002115954,21.87847534,-6.208436725,-2.647058824,0,0,0,0.361,0.485,0.397,0.639,0.515,0.603,0.141,0.235,0.165,0.722,0.78,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
